author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
FOLOWS,Ruth,N/A,N/A,Stansfield,Samuel,Memoirs,1829,N/A,N/A,Liverpool,N/A,N/A,N/A,N/A,N/A,N/A,"Quaker's ministry in England and Ireland; spiritual life, Quaker meetings & family life; Leicestershire.",N/A,N/A,N/A,N/A,N/A
FOOT,Stephen,N/A,N/A,N/A,N/A,Three Lives; Three Lives and Now; Life Began Yesterday,1934,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Childhood: official of Standard Oil in Singapore, Mexico, C. America; WW1 service in France with Tanks; schoolteaching in Eastbourne; international affairs, religion, problems of individual in society; relations with Oxford Group.","official, schoolteacher",N/A,N/A,N/A,N/A
FRANCK,Richard,N/A,N/A,N/A,N/A,"Northern Memoirs (1694, 1821). Cambridge; Cromwellian trooper in Scotland; residence in Nottingham; mostly natural history, fishing, reflections in Scotland, done in dialogue form and modelled on Walton's",1694,1821,N/A,N/A,Cambridge,N/A,N/A,N/A,N/A,N/A,"Reflections on natural history and fishing in Scotland, conveyed in a dialogue form.",Cromwellian trooper,N/A,N/A,N/A,Nottingham
FRASER,George,N/A,N/A,N/A,N/A,"Memoirs in the Life (Glasgow, 1808). Early years in Scotland; failure as grocer and enlistment; his fortunes and hardships as soldier in Scotland and Ireland; Irish rebellion; capture & escape; return to his business in Glasgow.",1808,N/A,N/A,Glasgow,N/A,N/A,N/A,N/A,N/A,N/A,"A soldier's experience in Scotland and Ireland, detailing his enlistment and struggles during the Irish rebellion.","Grocer, soldier",N/A,N/A,N/A,N/A
FRASER,James,N/A,N/A,N/A,N/A,"Memoirs of the Life (Edin. 1738); MS, National Library of Scotland. Trials and tribulations of the minister of Brea; imprisonment in Bass, Tolbooth, and London; religious life in Scotland in later Seventeenth Century.",1738,N/A,N/A,Edinburgh,N/A,N/A,N/A,N/A,N/A,N/A,"Detailed account of a minister's life, focusing on his religious life and experiences of imprisonment.",Minister,N/A,N/A,N/A,N/A
FRENCH,Rt. Rev. Thomas Valpy,N/A,N/A,N/A,N/A,"Diary 1867-91; missionary work in India and educational work as Principal of Lahore College; travels; Indian life and culture. The Life, by Herbert Birks (1895).",N/A,1895,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"A record of missionary work and educational efforts in India, alongside personal travels and observations of culture.","Missionary, educator",N/A,N/A,N/A,N/A
FREEMAN,Ann,N/A,N/A,N/A,N/A,"Memoir of the Life and Ministry (1826). Religious life of a Methodist, Bryanite, and Quaker; her ministry and travels in Ireland, Devonshire, etc.",1826,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Explores a woman's journey through different religious experiences and her ministry across various locations.,Minister,N/A,N/A,N/A,N/A
GARDNER,Maj. FltzRoy,N/A,N/A,N/A,N/A,Days and Ways; More Reminiscences,1921,1926,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His military career; Franco-Prussian War; assistant provost-marshal in WW1; the Rhine occupation; society, club life, hunting, journalism, theatre manager; Bohemian life in London.","military, journalism, theatre manager",N/A,N/A,N/A,N/A
GARDNER,Com. James Anthony,N/A,N/A,N/A,N/A,Recollections,1906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Attractive account of sailor's life, 1775-1814; his ships & cruises; social life and duties; humane interest.",sailor,N/A,N/A,N/A,N/A
GARDNER,James Peter,N/A,N/A,N/A,N/A,Reminiscences,1940,N/A,N/A,N/A,Boston,N/A,N/A,N/A,N/A,N/A,A boyhood on Scottish border in BO's; school and sports at Melrose; religion; social life.,N/A,N/A,N/A,N/A,N/A
GARDNER,Percy,N/A,N/A,N/A,N/A,Autobiographica,1933,N/A,N/A,Oxford,N/A,N/A,N/A,N/A,N/A,N/A,London boyhood; Cambridge and appointment to British Museum; his classical and archaeological studies; teaching at Oxford; theology; Modernism; religious life.,N/A,N/A,N/A,N/A,N/A
GARLAND,Thomas Charles,N/A,N/A,N/A,N/A,Leaves from My Log; East End Pictures,1882,1885,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Work of Wesleyan missionary around the Port of London for 25 years; seamen & slum dwellers; his social & religious work; interesting.,missionary,N/A,N/A,N/A,N/A
GARRATT,Samuel,N/A,N/A,N/A,N/A,Life and Personal Recollections,1908,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Parish work of Vicar of Ipswich; recollections of the religious movements and church events of period 1830-80.,Vicar,N/A,N/A,N/A,N/A
Gleichen,Lady Helena,N/A,N/A,N/A,N/A,Contacts and Contrasts,1910,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Society life; mostly her hospital work in Italy during the 1st World War.,N/A,N/A,N/A,N/A,N/A
Gleichen,George Robert,N/A,N/A,N/A,N/A,The Subaltern,1825,N/A,N/A,Edinburgh,N/A,N/A,N/A,N/A,N/A,N/A,"Chaplain's service during Peninsular War, 1813-14; military affairs in Southern France.",N/A,N/A,N/A,N/A,N/A
Glimbervie,"Douglas Sylvester, Baron",N/A,N/A,Bickley,F.,Diaries,1928,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Begins with his early life, mid 18 C.",N/A,N/A,N/A,N/A,N/A
Glindoni,H. G.,N/A,N/A,N/A,N/A,Short autobiography of popular painter and exhibitor R.A.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Mostly 19th Century. MS, Dagenham Public Library.",Painter,N/A,N/A,N/A,N/A
Glover,Archibald Edward,N/A,N/A,N/A,N/A,A Thousand Miles of Miracle In China,1904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,His perils and miraculous escapes from the Chinese during the Boxer rebellion; a missionary.,Missionary,N/A,N/A,N/A,N/A
Glover,Lady Elizabeth Rosetta,N/A,N/A,N/A,N/A,Memories of Four Continents,1923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Society and diplomatic life and travel before WWI; Ireland, Newfoundland, Paris, India, Egypt.",N/A,N/A,N/A,N/A,N/A
Glover,Richard,N/A,N/A,N/A,N/A,Memoirs of a Celebrated Literary and Political Character,1813,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Critical reminiscences of public affairs, 1742-57; politics and intrigue; associate of Chatham and the Grenvilles.",N/A,N/A,N/A,N/A,N/A
Graham,Maria,N/A,N/A,N/A,N/A,Journal of a Residence In India (Edin.1812): Journal of a Residence in Chile (1824),1812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Travels in India 1809-11; Indian scene; experiences in Chilean war of liberation; and notes on Cochrane, San Martin, O'Higgins, etc.",N/A,N/A,N/A,N/A,N/A
Graham,Sir Reginald,N/A,N/A,N/A,N/A,Foxhunting Recollections,1907,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brief notes on military life, mostly hunting with the most famous hunts from 1863.",N/A,N/A,N/A,N/A,N/A
Graham,Gen. Samuel,N/A,N/A,Graham,James J.,Memoir,1862,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Includes autobiography of his service with British forces during American revolution.,N/A,N/A,N/A,N/A,N/A
Graham,Stephen,N/A,N/A,N/A,N/A,A Private in the Ouaxd,1919,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Personal essays about his service in France, WW1.",N/A,N/A,N/A,N/A,N/A
Grahame-White,Com. Montague,N/A,N/A,N/A,N/A,At the Wheel,1935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Forty years of motoring, yachting, motorboating; racing trials and sporting life.",N/A,N/A,N/A,N/A,N/A
GRIFFIN,James,N/A,N/A,N/A,N/A,Memories of the Past,1883,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Congregational minister's recollections of his work among Manchester poor and in Hastings; memories of Chalmers, Edward Irving, etc.",Congregational minister,N/A,N/A,N/A,N/A
GRIFFITH,George,N/A,N/A,N/A,N/A,Going to Markets; Reminiscences,1870,1880,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His education; & Staffordshire public affairs, politics & social life, from 1830 to 1880.",N/A,N/A,N/A,N/A,N/A
GRIFFITH,John,N/A,N/A,N/A,N/A,Journal of tha I/if»,1830,N/A,N/A,N/A,York,N/A,N/A,N/A,N/A,N/A,"Quaker religious autobiography; conversion; emigration to America and ministry there; return to England and ministry in Yorkshire and Essex, etc.; mid 18 C.",Quaker minister,N/A,N/A,N/A,"America, Yorkshire, Essex"
GRIFFITH,Llewellyn Wyn,N/A,N/A,N/A,N/A,Up to Manetz; Spring of Youth,1931,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sensitive account of service in France in WW1; poetical account of his childhood and youth in Cardigan; farm life, schools, religion and his courtship; poet.",Poet,N/A,N/A,N/A,N/A
GRIFFITH,William,N/A,N/A,N/A,N/A,"Diary, 1835-40; Posthumous Papers",1847,N/A,Vol. 1,Calcutta,N/A,N/A,N/A,N/A,N/A,N/A,"Observations of a scientist in Assam, Burma, Afghanistan; natural history; tea-planting.",Scientist,N/A,N/A,N/A,"Assam, Burma, Afghanistan"
GRIFFITH,William Peter,N/A,N/A,Piggott,H.J.,Memoirs and Life,N/A,N/A,N/A,Methodist Book Room,London,N/A,N/A,N/A,N/A,N/A,Difficult childhood in Ireland; work as printer in London; success in business; Methodist observance.,"Printer, businessman",N/A,N/A,N/A,"Ireland, London"
GRIFFITH,Mrs. William Peter,N/A,N/A,N/A,N/A,Reminiscences,1908,N/A,N/A,Methodist Book Room,N/A,N/A,N/A,N/A,N/A,N/A,Early life as wife of Methodist preacher; travels to Canada and New Zealand; family life.,N/A,N/A,N/A,N/A,"Canada, New Zealand"
GRIFFITH-BOSCAWEN,Sir Arthur S. T.,N/A,N/A,N/A,N/A,Fourteen Years in Parliament; Memories,1907,1925,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Career as Conservative M.P. and minister of Pensions and of Agriculture; public affairs, politics; Boer War; WW1.","Conservative M.P., Minister",N/A,N/A,N/A,N/A
GRIFFITHS,Major Arthur,N/A,N/A,N/A,N/A,In Tight Places,1900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Retired officer's adventures as detective; exploits in Algiers, Egypt, Spain; crooks in society; his love affairs; fiction?","Retired officer, detective",N/A,N/A,N/A,N/A
GRIFFITHS,Arthur G. F.,N/A,N/A,N/A,N/A,Fifty Years of Public Service,1904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His military service in Crimean War, Canada & Gibraltar; inspector in charge of convict prisons in Chatham and London prison life, organization, etc.","Military officer, inspector",N/A,N/A,N/A,N/A
GRIFFITHS,Capt. Charles John,N/A,N/A,N/A,N/A,Diary 1857-8; Narrative of the Siege of Delhi,1910,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A lively and detailed account of the siege of Delhi.,N/A,N/A,N/A,N/A,N/A
GRIGG,Sir Percy James,N/A,N/A,N/A,N/A,Prejudice & Judgment,1948,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Career of an important civil servant; private secretary to five Chancellors of Exchequer; and War Secretary in WW2; public affairs; financial problems and ideas; public figures; his education, liberalism and nonconformity.",Civil servant,N/A,N/A,N/A,N/A
GRIMBLE,Augustus,N/A,N/A,N/A,N/A,Leaves from a Game Book; More Leaves,1898,1917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fishing, shooting, country house life and country sports.",N/A,N/A,N/A,N/A,N/A
GRIMSHAW,Beatrice Ethel,N/A,N/A,N/A,N/A,Isles of Adventure,1930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Her thirty years in New Guinea and South Seas; travels and native life; journalism.,Journalist,N/A,N/A,N/A,"New Guinea, South Seas"
HALFAR,Raichal Das,N/A,N/A,N/A,N/A,English Diary,1903,N/A,N/A,N/A,Dacca,N/A,N/A,N/A,N/A,N/A,"Life of Hindu student at Oxford and London universities, in the 60's; Max Mueller; tours.",N/A,N/A,N/A,N/A,N/A
HALF0RD,Frederic Michael,N/A,N/A,N/A,N/A,Angler's Autobiography,1903,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Experiences of trout, salmon, and sea fishing, mostly in South of England; journalism for The Field.",journalist,N/A,N/A,N/A,N/A
HALHEAD,Myles,N/A,N/A,N/A,N/A,Book of Some of the Sufferings,1690,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Autobiography of an early Quaker; conversion, ministry, its sufferings in prison and at hands of crowd; God's visitations.",N/A,N/A,N/A,N/A,N/A
HALKETT,Lady Anne,Murray,N/A,N/A,N/A,Autobiography,1701,1875,N/A,N/A,Edin.,N/A,N/A,N/A,N/A,N/A,"Fragmentary; education, family life, courtship; her loyal devotion to her husband during the Civil War; the sufferings of a royalist; an excellent story of a devoted wife.",N/A,N/A,N/A,N/A,N/A
HALKETT,G. R.,N/A,N/A,N/A,N/A,Dear Monster,1939,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rambling autobiography of life in Germany; court life at Weimar; the days of the Nazis; excellent account of intellectual life and arts.,N/A,N/A,N/A,N/A,N/A
HALKETT,J.G. Hay,N/A,N/A,N/A,N/A,Magistrate's Fun,1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Career as a lawyer; his work as a London magistrate; cases; incidents grave and gay.,"lawyer, magistrate",N/A,N/A,N/A,N/A
HALL,Sir Alfred Daniel,N/A,N/A,N/A,N/A,Digressions of a Man of Science,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A professional autobiography of Kentish farmer botanist and soil specialist.,"farmer, botanist, soil specialist",N/A,N/A,N/A,N/A
HALL,Captain Basil,N/A,N/A,N/A,N/A,The Ifldshiman; Voyages and Travels,1862,1895,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"An account of his early naval career and life on shipboard; selections from his many books of travel in America, Spain, Africa, etc.; lively but loose.",naval officer,N/A,N/A,N/A,N/A
HALL,David,N/A,N/A,N/A,N/A,Some Brief Memoirs,1758,N/A,N/A,N/A,L.,N/A,N/A,N/A,N/A,N/A,Yorkshire schoolmaster; teaching at Skipton; religious life and observances of Quakers at Skipton; travels in the ministry.,schoolmaster,N/A,N/A,N/A,N/A
HALL,George,N/A,N/A,N/A,N/A,Gypsy's Parson,1915,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His friendship with gypsies and religious work among them; rector of Ruckland, Lanes.",rector,N/A,N/A,N/A,N/A
HALL,Herbert Byng,N/A,N/A,N/A,N/A,Adventures of a Bric-a-Brac Hunter,1868,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Experience collecting china and antiques through Europe; mostly impersonal.,N/A,N/A,N/A,N/A,N/A
HALL,Herbert C.,N/A,N/A,N/A,N/A,Barrack and Bush,1923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Soldiering, police work, and sport in Northern Nigeria; WWI service in Africa.","soldier, police officer",N/A,N/A,N/A,N/A
Cedric,Sir,N/A,N/A,N/A,N/A,Let's Pretend,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,His career on stage and films; London theatre; Birmingham Repertory; reminiscences of actors and theatrical life and audiences.,N/A,N/A,N/A,N/A,N/A
Hardy,Capt. Jocelyn Lee,N/A,N/A,N/A,N/A,I Escape,1927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capture in WW1; imprisonment in Germany; escape to Holland.,N/A,N/A,N/A,N/A,N/A
Hardy,Thomas,N/A,N/A,N/A,N/A,Memoir,1832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Scottish youth from 1752; shoemaker; his friends and political interests, London; founding London Corresponding Society; sympathies with French Revolution and arrest for treason; parliamentary reforms.",N/A,N/A,N/A,N/A,N/A
Hardy,Thomas,N/A,N/A,Hardy,Florence,"Early Life, by Florence Hardy; Later Years, by Florence Hardy",192857,1930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Biography incorporating Hardy's recollections of early days, with extensive quotations from his notebooks during the novel period that constitute something like a diary of people, scenes, social life and his career.",N/A,N/A,N/A,N/A,N/A
Hare,Augustus John Cuthbert,N/A,N/A,N/A,N/A,Memorials of a Quiet Life; Story of My Life,1872,1896-1900,6v,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Very leisurely account of boyhood, literary life in England and abroad; writing; social life and literary and society friends and domestic; much of it quoted from diary of 1855-1900.",N/A,N/A,N/A,N/A,N/A
Hare,Kenneth,N/A,N/A,N/A,N/A,No Quarrel with Fate,1946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Poet and adventurer; imaginative childhood; Oxford; London literary circles before WW1; army service WW1; exuberant.,N/A,N/A,N/A,N/A,N/A
Hargrave,John,N/A,N/A,N/A,N/A,At Suvla Bay,1916,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scoutmaster,N/A,N/A,N/A,N/A
Hardinge of Penshurst,"Charles Hardinge, Baron",N/A,N/A,N/A,N/A,On Hill and Plain,1933,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Scoutmaster's service in Army Medical Corps, Gallipoli campaign.",N/A,N/A,N/A,N/A,N/A
Hargrove,Charles,N/A,N/A,N/A,N/A,From Authority to Freedom,1920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Religious life and developments; Plymouth Brother; Catholic priest and monk; 35 years Unitarian minister at Leeds.,N/A,N/A,N/A,N/A,N/A
Harington,General Sir Charles,N/A,N/A,N/A,N/A,Tim Harington Looks Back,1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Military career; Sandhurst; Boer War; work at Staff College; service in WW1, India, Gibraltar.",N/A,N/A,N/A,N/A,N/A
Harrap,George Godfrey,N/A,N/A,N/A,N/A,Some Memories,1935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Publisher's career; publishing, literary fashions; history & anecdotes of books, writers.",N/A,N/A,N/A,N/A,N/A
Harriott,John,N/A,N/A,N/A,N/A,Struggles through Life,1807,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lively and varied career; Northampton childhood; boy at sea; a farmer in S. Africa and America; magistrate in Thames Police; domestic affairs; perils.,N/A,N/A,N/A,N/A,N/A
Harris,Frank,N/A,N/A,N/A,N/A,My Life and Loves,1922,N/A,N/A,Paris and Nice,N/A,N/A,N/A,N/A,N/A,N/A,"Career and adventures of author, editor, and lover; his exploits and vanities; Oscar Wilde and writers he knew.",N/A,N/A,N/A,N/A,N/A
Harris,Frank,N/A,N/A,N/A,N/A,Life and Adventures,1947,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harker,Joseph,N/A,N/A,N/A,N/A,Studio and Stage,1924,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"A childhood in theatre; career as theatrical scene painter; Gilbert and Sullivan, Irving & Tree; fashions in scenery and design.",N/A,N/A,N/A,N/A,N/A
Harris,Mrs. G.J.,N/A,N/A,N/A,N/A,A Lady's Diary,1858,N/A,N/A,N/A,N/A,N/A,YES,N/A,N/A,N/A,With her soldier-husband; the siege of Lucknow; details of civilian experiences.,N/A,N/A,N/A,N/A,N/A
Harland,Elizabeth M.,N/A,N/A,N/A,N/A,Farmer's Girl,1942,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Businesslike account of farming work in Norfolk in WW2.,N/A,N/A,N/A,N/A,N/A
Harland-Edgecumbe,Francis W. Lord,N/A,N/A,N/A,N/A,High Executioner,1934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A criminal's experiences in English & American prisons; sociology.,N/A,N/A,N/A,N/A,N/A
Harley,Captain John,N/A,N/A,N/A,N/A,The Veteran,1838,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"A boyhood in Ireland; 40 years in army; service in Egypt, Peninsular War; adventures, army life.",N/A,N/A,N/A,N/A,N/A
Harley,Percy,N/A,N/A,N/A,N/A,My Life in Shipping,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Career in shipbroker's; tankers, refrigerated ships & development of shipping; 1889 Dock Strike; WW1 experience; Highbury life.",N/A,N/A,N/A,N/A,N/A
Harman,Neal,N/A,N/A,N/A,N/A,Loose End,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His youth in Bucks; work in London silver shop; travels America, Burma, Africa; adventures of footloose man.",N/A,N/A,N/A,N/A,N/A
Harris,George,N/A,N/A,N/A,N/A,Autobiography,1888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Childhood and education; legal study; career as lawyer and Judge; his writing, scholarship, lecturing; literary friendships.","Lawyer, Judge",N/A,N/A,N/A,N/A
Harris,George Harold,N/A,N/A,N/A,N/A,Prisoner of War and Fugitive,1947,N/A,N/A,Aldershot,N/A,N/A,N/A,N/A,N/A,N/A,"A personal narrative of WW2; capture in N.Africa, 1942; in Italy; escape and recapture; adventures.",N/A,N/A,N/A,N/A,N/A
Harris,Jame.tf,N/A,N/A,N/A,N/A,Confessions of a Scribbler,1882,N/A,N/A,Merthyr Tydfil,N/A,N/A,N/A,N/A,N/A,N/A,His meagre schooling; work as boy in Cardiff; experiences as writer with critics and publishers; inflated.,N/A,N/A,N/A,N/A,N/A
Harris,Major-General James Thomas,N/A,N/A,N/A,N/A,China Jim,1912,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cadet in India 1849; army life and service; the Mutiny; and march to China and life and adventures there; sport.,N/A,N/A,N/A,N/A,N/A
Harpie,Allanah,N/A,N/A,N/A,N/A,All Trivial Fond Records,1950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"A pouting account of her childhood and youth from 1908 and travels as a child in Far East, Egypt and France; her debut; critical.",N/A,N/A,N/A,N/A,N/A
Harris,John,N/A,N/A,N/A,N/A,My Autobiography,1882,N/A,N/A,Falmouth,N/A,N/A,N/A,N/A,N/A,N/A,"Boyhood on Cornish farm and country life; early reading, writing of poetry; work as miner; family life; later books; good.",N/A,N/A,N/A,N/A,N/A
Harper,Harry,N/A,N/A,N/A,N/A,Twenty-Five Years of Flying,1929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Learning to fly; early experiences with balloons and planes; development of aviation.,N/A,N/A,N/A,N/A,N/A
Harris,Joseph,N/A,N/A,Curling,H.,Recollections,1929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good personal account of experiences of a rifleman in Peninsular War.,N/A,N/A,N/A,N/A,N/A
HAWKINS,Sir Anthony Hope,N/A,N/A,N/A,N/A,Memories and Notes,1927,N/A,N/A,Marlborough,N/A,N/A,N/A,N/A,N/A,N/A,legal studies and law work; literary and theatre work; his novels; visits to America; social scene,N/A,N/A,N/A,N/A,N/A
HAVARD,R. A.,N/A,N/A,N/A,N/A,Portland Spy,1939,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secret service work in WWl; with Portland garrison; convoys; later in Ireland; arms smuggling.,N/A,N/A,N/A,N/A,N/A
HAWKINS,Laetitia Matilda,N/A,N/A,N/A,N/A,Anecdotes; Memoirs,1821,1822,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Bluestocking's reminiscences of society, social life and literature; the Johnson circle and 18th Century celebrities.",N/A,N/A,N/A,N/A,N/A
HAVHIGAL,Frances Ridley,N/A,N/A,N/A,N/A,Memorials by Maria Havergal,1680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Autobiography of first 25 years; religious life and aspirations; and her life in Germany; poet.,N/A,N/A,N/A,N/A,N/A
HAWKSHAW,Sir John,N/A,N/A,N/A,N/A,Reminiscences,1838,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Travels of an engineer in So. America, 1832-34; description of Venezuela.",N/A,N/A,N/A,N/A,N/A
HAWEIS,Hugh R.,N/A,N/A,N/A,N/A,My Musical Life; Travel and Talk,1884,1896,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mua-in studies and performances; music critic.,N/A,N/A,N/A,N/A,N/A
HAWTREY,Sir Charles Henry,N/A,N/A,N/A,N/A,Truth at Last,1924,N/A,N/A,N/A,Eton,N/A,N/A,N/A,N/A,N/A,Teaching; career in the theatre; his plays and tours; and his varying fortunes.,N/A,N/A,N/A,N/A,N/A
HAWTREY,Stephen T.,N/A,N/A,N/A,N/A,Reminiscences of a French Eton,1867,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Work at a lycée in Toulouse; comparison of French and English education.,N/A,N/A,N/A,N/A,N/A
HAÏ,Malcolm Vivian,N/A,N/A,N/A,N/A,"Wounded and Prisoner of War, by an Exchanged Officer",1916,N/A,N/A,Edinburgh,N/A,N/A,N/A,N/A,N/A,N/A,"WW1 service, Mons and Cambrai; in hospital and prison at Wurzburg; exchange.",N/A,N/A,N/A,N/A,N/A
HAYNES,Edmund Sidney Pollock,N/A,N/A,N/A,N/A,The Lawyer,1951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"A selection from jottings 1877-1949; life in London and at Primrose Hill; comments and observations on society, food and wine, conversation, public affairs, and Eminent Victorians; sturdy and lively.",N/A,N/A,N/A,N/A,N/A
HAÏ,William,N/A,N/A,N/A,N/A,Deformity,1754,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An account of his life as a cripple; the reactions of others and his emotional life.,N/A,N/A,N/A,N/A,N/A
HAÏ,Captain William,N/A,N/A,N/A,N/A,Reminiscences under Wellington,1901,N/A,N/A,N/A,N/A,N/A,YES,N/A,N/A,N/A,"Boy-officer in Peninsular War; service in Canada and at home to 1828; dictated in a lively, colorful style.",N/A,N/A,N/A,N/A,N/A
HAÏ,Capt. William Rupert,N/A,N/A,N/A,N/A,Two Years in Kurdistan,1921,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Work and social life of a political officer, 1918-20; his troubles.",N/A,N/A,N/A,N/A,N/A
HAYDON,Benjamin Robert,N/A,N/A,A.,Penrose,Life; Autobiography and Memoirs,1853,1927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Begins with autobiography, 1786-1820; career as painter and teacher; ups and downs and his literary and artistic friendships; excellent.",N/A,N/A,N/A,N/A,N/A
HAÏES,Alice,N/A,N/A,N/A,N/A,A Legacy,1723,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Quaker autobiography; spiritual life and the Lord's dealings with her from her youth; ministry in Herts, etc.",N/A,N/A,N/A,N/A,N/A
HAÏES,Sir Bertram,N/A,N/A,N/A,N/A,Hull Down,1925,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Forty-five years in merchant ships and liners; transporting of troops in Boer War and WW1; his passengers.,N/A,N/A,N/A,N/A,N/A
HAÏES,Capt. Matthew Horace,N/A,N/A,N/A,N/A,Indian Racing Reminiscences; Among Men and Horses,1883,1892,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Military life in India; sport; horse-breeding and racing; Indian sportsmen. Copy of first in Cambridge U.L.,N/A,N/A,N/A,N/A,N/A
