author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
Ames,Levi,N/A,N/A,N/A,N/A,The last words and dying speech,1836,N/A,N/A,Seth Clapp,Worcester,8 p,N/A,N/A,N/A,N/A,By a thief in Massachusetts.,N/A,1752,1773,N/A,N/A
Ames,Nathaniel,N/A,N/A,N/A,N/A,A mariner’s sketches,1830,N/A,N/A,"Cory, Marshall & Hammond",Providence,312 p,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1835,N/A,N/A
Alderson,Nannie,N/A,N/A,N/A,N/A,A bride goes west,N/A,N/A,N/A,Farrar,N.Y.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1860,N/A,N/A,N/A
Alldredge,Eugene Perry,N/A,N/A,N/A,N/A,Cowboys and coyotes,1945,N/A,N/A,Nashville,N/A,184 p,N/A,N/A,N/A,N/A,"Outdoor life in New Mexico, where he went for his health.",N/A,N/A,N/A,N/A,N/A
Allen,Elizabeth,N/A,N/A,N/A,N/A,"Sketches of Green Mountain life, with an autobiography of the author",1846,N/A,N/A,Nathaniel L. Dayton,"Lowell, Mass.",160 p,N/A,N/A,N/A,N/A,A Vermont girlhood described by a song composer.,N/A,N/A,N/A,N/A,N/A
Allen,Errol V.,N/A,N/A,N/A,N/A,Incidents of home-stead days in North Central Kansas,N/A,N/A,N/A,N/A,N/A,20 p,N/A,N/A,N/A,N/A,The period covered is 1871—81.,N/A,N/A,N/A,N/A,N/A
Allen,Frank Gibbs,N/A,N/A,N/A,N/A,Autobiography,1887,N/A,N/A,Guide pr. & pub. co.,Cine.,259 p,N/A,N/A,N/A,N/A,Baptist clergyman in various southern states and especially in Kentucky.,N/A,1836,1887,N/A,N/A
Allen,George,N/A,N/A,N/A,N/A,Reminiscences of the Rev. George Allen of Worcester,1883,N/A,N/A,Putnam & Davis,"Worcester, Mass.",127 p,N/A,N/A,N/A,N/A,Congregational minister serving mostly in Massachusetts.,N/A,1792,1883,N/A,N/A
Allen,Hervey,N/A,N/A,N/A,N/A,Toward the flame,1926,N/A,N/A,George H. Doran co.,N.Y.,250 p,N/A,N/A,N/A,N/A,Experiences in the first World War.,N/A,1889,N/A,N/A,N/A
Allen,J. Sidna,N/A,N/A,N/A,N/A,Memoirs,1929,N/A,N/A,Alwith pub. co.,"Madison, N.C.",142 p,N/A,N/A,N/A,N/A,Virginia merchant.,N/A,N/A,N/A,N/A,N/A
Allen,James,N/A,N/A,N/A,N/A,"Narrative of the life of James Allen, alias George Walton, alias Jonas Pierce, alias James H. York, alias Burley Grove the highwayman",1837,N/A,N/A,Harrington & co.,Boston,32 p,N/A,N/A,N/A,N/A,As described by the title.,N/A,1809,1837,N/A,N/A
Allen,James Lane,N/A,N/A,N/A,N/A,A Kentucky cardinal and aftermath,1900,N/A,N/A,Macmillan,N.Y.,p. XI-XXXII,N/A,N/A,N/A,N/A,An author tells of his youth on a farm in Kentucky.,N/A,1849,1925,N/A,N/A
Allen,Jirah Isham,N/A,N/A,N/A,N/A,Montana pioneer,N.d.,N/A,N/A,Tuttle pub. co.,"Rutland, Vt.",162 p,N/A,N/A,N/A,N/A,"Government scout, guide, hunter and Indian fighter in Montana and Dakota during the years 1862 — 78.",N/A,1839,1929,N/A,N/A
Allen,Joel Asaph,N/A,N/A,N/A,N/A,Autobiographical notes and a bibliography of the scientific publications of Joel Asaph Allen,1916,N/A,N/A,American museum of natural history,N.Y.,215 p,N/A,N/A,N/A,N/A,Ornithologist and mammalogist connected with the Museum of Comparative Zoology at Harvard and later with the American Museum of Natural History.,N/A,1838,1921,N/A,N/A
Allen,John J.,N/A,N/A,N/A,N/A,Uncle John Allen’s rambles in the Rockies,1917,N/A,N/A,For the author,"Hermitage, Tenn.",94 p,N/A,N/A,N/A,N/A,"Hunter, trapper and miner in California and the mountain states.",N/A,1843,N/A,N/A,N/A
Allen,John Taylor,N/A,N/A,N/A,N/A,Early pioneer days in Texas,1918,N/A,N/A,Wilkinson,Dallas,267 p,N/A,N/A,N/A,N/A,The author was a farmer and cattle rancher.,N/A,1848,N/A,N/A,N/A
Allen,Richard,N/A,N/A,N/A,N/A,"The life, experience, and gospel labors",1887,N/A,N/A,A.M.E. book co.,Phila.,69 p,N/A,N/A,N/A,N/A,Negro Methodist clergyman in Philadelphia.,N/A,1760,1831,N/A,N/A
Allen,Stanton P.,N/A,N/A,N/A,N/A,"Down in Dixie; life in a cavalry regiment in the War days, from the Wilderness to Appomattox",1892,N/A,N/A,D. Lothrop co.,Boston,494 p,N/A,N/A,N/A,N/A,As described by the title.,N/A,N/A,N/A,N/A,N/A
Allen,Stanton P.,N/A,N/A,N/A,N/A,A summer revival and what brought it about,1894,N/A,N/A,Hunt & Eaton,N.Y.,200 p,N/A,N/A,N/A,N/A,How he became a Methodist clergyman.,N/A,N/A,N/A,N/A,N/A
Allen,William Alonzo,N/A,N/A,N/A,N/A,"Adventures with Indians and game, or twenty years in the Rocky Mountains",1903,N/A,N/A,A. W. Bowen,Chicago,302 p,N/A,N/A,N/A,N/A,By a hunter and Indian fighter.,N/A,1848,N/A,N/A,N/A
Allen,William M.,N/A,N/A,N/A,N/A,Five years in the West,1884,N/A,N/A,Southern Methodist pub. house,Nashville,211 p,N/A,N/A,N/A,N/A,Methodist clergyman.,N/A,N/A,N/A,N/A,N/A
Allen,William R.,N/A,N/A,N/A,N/A,The Chequemegon,1949,N/A,N/A,William Frederick,N.Y.,205 p,N/A,N/A,N/A,N/A,Miner and politician in Montana.,N/A,1871,N/A,N/A,N/A
Alley,Norman,N/A,N/A,N/A,N/A,I witness,1941,N/A,N/A,Wilfred Funk,N.Y.,370 p,N/A,N/A,N/A,N/A,Newspaper and newsreel photographer.,N/A,N/A,N/A,N/A,N/A
Allison,Young Ewing,N/A,N/A,N/A,N/A,Unfinished autobiography,1935,N/A,N/A,John P. Morton,Louisville,p. 62 — 83,N/A,N/A,N/A,N/A,Kentucky publisher and journalist.,N/A,1853,1932,N/A,N/A
Allman,Norwood Francis,N/A,N/A,N/A,N/A,Shanghai lawyer,1943,N/A,N/A,McGraw-Hill,N.Y.,283 p,N/A,N/A,N/A,N/A,"The author spent 26 years in China as an American consul, member of the International Mixed Court and as a practicing lawyer.",N/A,1893,N/A,N/A,N/A
Allsopp,Frederick William,N/A,N/A,N/A,N/A,Little adventures in newspaper-dom,1922,N/A,N/A,Arkansas writer pub. co.,Little Rock,239 p,N/A,N/A,N/A,N/A,In Arkansas.,N/A,N/A,N/A,N/A,N/A
Allsopp,Frederick William,N/A,N/A,N/A,N/A,Twenty years in a newspaper office,1907,N/A,N/A,Central printing co.,Little Rock,266 p,N/A,N/A,N/A,N/A,In Arkansas.,N/A,N/A,N/A,N/A,N/A
Allyn,George W.,N/A,N/A,N/A,N/A,When Blue Earth county was young,1919,N/A,N/A,N/A,"Madison Lake, Minn.",40 p,N/A,N/A,N/A,N/A,Minnesota homesteader and lumber dealer.,N/A,N/A,N/A,N/A,N/A
Allyn,Gurdon L.,N/A,N/A,N/A,N/A,The old sailor’s story,1879,N/A,N/A,Printed by Gordon Wilcox,"Norwich, Conn.",111 p,N/A,N/A,N/A,N/A,A merchantman tells of his New England boyhood.,N/A,1799,N/A,N/A,N/A
Altgelt,Emma,N/A,N/A,N/A,N/A,Beobachtungen und Errinnerungen,1930,N/A,N/A,Druck der Neu-Braunfelfer Zeitung,"Neu-Braunfels, Texas",80 p,N/A,N/A,N/A,N/A,By the wife of a Texas farmer. The period covered is 1850-1905.,N/A,N/A,N/A,N/A,N/A
Alverson,Mrs. Rosana Margaret,N/A,N/A,N/A,N/A,Sixty years of California song,1913,N/A,N/A,M.B. Alverson,Oakland,275 p,N/A,N/A,N/A,N/A,By a concert singer and music teacher.,N/A,1836,N/A,N/A,N/A
Ameringer,Oscar,N/A,N/A,N/A,N/A,If you don’t weaken,1940,N/A,N/A,Henry Holt & co.,N.Y.,476 p,N/A,N/A,N/A,N/A,Came to this country at sixteen. Painter and musician in his early days; later Socialist and labor leader and journalist.,N/A,1870,1943,N/A,N/A
Ames,Charles Gordon,N/A,N/A,N/A,N/A,A spiritual autobiography,1913,N/A,N/A,Houghton Mifflin,Boston,228 p,N/A,N/A,N/A,N/A,Baptist and Unitarian clergyman in New England and Minn.,N/A,1828,1912,N/A,N/A
Ames,John Quincy,N/A,N/A,N/A,N/A,On the wings of tomorrow,1939,N/A,N/A,E.V. pub. house,Nappanee,307 p,N/A,N/A,N/A,N/A,"A varied career in civil service, education and social work in Chicago.",N/A,N/A,N/A,N/A,N/A
Ames,Levi,N/A,N/A,N/A,N/A,The last words and dying speech,1836,N/A,N/A,Seth Clapp,Worcester,8 p,N/A,N/A,N/A,N/A,By a thief in Massachusetts.,N/A,1752,1773,N/A,N/A
Ames,Nathaniel,N/A,N/A,N/A,N/A,A mariner’s sketches,1830,N/A,N/A,"Cory, Marshall & Hammond",Providence,312 p,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1835,N/A,N/A
Ames,Nathaniel,N/A,N/A,N/A,N/A,Nautical reminiscences,1832,N/A,N/A,William Marshall,Providence,216 p,N/A,N/A,N/A,N/A,A Rhode Island merchant sailor who also served in the U.S. Navy.,N/A,N/A,1835,N/A,N/A
Ammen,Daniel,N/A,N/A,N/A,N/A,The old navy and the new,1891,N/A,N/A,J.B. Lippincott,Philadelphia,553 p,N/A,N/A,N/A,N/A,"Life in the old navy under sail before the Civil War, largely cruises in various parts of the world; Civil War experiences; activities in connection with the Nicaragua canal route.",N/A,1820,1898,N/A,N/A
Amory,Charles Bean,N/A,N/A,N/A,N/A,A brief record of the army life,1903,N/A,N/A,Priv. pr.,Boston,43 p,N/A,N/A,N/A,N/A,Officer in the Union Army.,N/A,1841,N/A,N/A,N/A
Amos,Mary Jane,N/A,N/A,N/A,N/A,Blessed are the pure in heart,1940,N/A,N/A,Meador,Boston,122 p,N/A,N/A,N/A,N/A,A Pennsylvania mystic relates her religious experiences.,N/A,1872,N/A,N/A,N/A
Anderson,Abraham Archibald,N/A,N/A,N/A,N/A,Experiences and impressions,1933,N/A,N/A,Macmillan,N.Y.,245 p,N/A,N/A,N/A,N/A,"Painter, and ranch owner in Wyoming.",N/A,N/A,N/A,N/A,N/A
Anderson,Andrew,N/A,N/A,N/A,N/A,Autobiography,1916,N/A,N/A,Washington Recorder,Olympia,19 p,N/A,N/A,N/A,N/A,Methodist clergyman in early Pacific Northwest.,N/A,N/A,N/A,N/A,N/A
Anderson,Charles V.,N/A,N/A,N/A,N/A,Twenty-three years in Cincinnati,N/A,N/A,N/A,N.d.,Salt Lake City,48 p,N/A,N/A,N/A,N/A,A businessman tells of his activities on behalf of the Mormons.,N/A,N/A,N/A,N/A,N/A
Anderson,Ephraim M.,N/A,N/A,N/A,N/A,"Memoirs: historical and personal, including the campaigns of the First Missouri",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anderson,Garland-Andrews,N/A,N/A,N/A,N/A,Confederate brigade,1868,N/A,N/A,Times pr. co.,St. Louis,436 p,N/A,N/A,N/A,N/A,As described by the title.,N/A,N/A,N/A,N/A,N/A
Anderson,Garland,N/A,N/A,N/A,N/A,From newsboy and bellhop to playwright,1925,N/A,N/A,N.d.,N/A,30 p,N/A,N/A,N/A,N/A,By a Negro playwright.,N/A,N/A,N/A,N/A,N/A
Anderson,Idella Alderman,N/A,N/A,N/A,N/A,When you and I were young,1927,N/A,N/A,The Recorder press,"Holton, Kan.",41 p,N/A,N/A,N/A,N/A,Youth on a farm in Kansas.,N/A,N/A,N/A,N/A,N/A
Anderson,Isabel Weld,N/A,N/A,N/A,N/A,Zigzagging,1918,N/A,N/A,Houghton Mifflin co.,Boston & N.Y.,269 p,N/A,N/A,N/A,N/A,Canteen worker in France during the first World War.,N/A,1876,N/A,N/A,N/A
Anderson,John Wesley,N/A,N/A,N/A,N/A,From the plains to the pulpit,1907,N/A,N/A,J.W. Anderson & sons,"Goose Creek, Texas",315 p,N/A,N/A,N/A,N/A,By a Baptist clergyman.,N/A,1855,N/A,N/A,N/A
Anderson,Joshua,N/A,N/A,N/A,N/A,Autobiography,N/A,N/A,N/A,N/A,N/A,4 p,N/A,N/A,N/A,N/A,Farmer in Missouri and Kansas.,N/A,1817,N/A,N/A,N/A
Anderson,Margaret C.,N/A,N/A,N/A,N/A,My thirty years’ war; an autobiography,1930,N/A,N/A,"Covici, Friede",N.Y.,274 p,N/A,N/A,N/A,N/A,"Chicago journalist, and editor of the Little Review.",N/A,N/A,N/A,N/A,N/A
Anderson,Mary Jane Hill,N/A,N/A,N/A,N/A,Autobiography,1934,N/A,N/A,Priv. pr.,Minneapolis,39 p,N/A,N/A,N/A,N/A,Life on a farm in Minnesota.,N/A,1827,1924,N/A,N/A
Anderson,Mary Mabbette,N/A,N/A,N/A,N/A,Lights and shadows of the life in Canaan,1906,N/A,N/A,J.M. Pike,"Columbia, S.C.",92 p,N/A,N/A,N/A,N/A,A lay mission worker in South Carolina.,N/A,N/A,N/A,N/A,N/A
Anderson,Micajah,N/A,N/A,N/A,N/A,"The life of Micajah Anderson, of Edgecombe County. By himself",1870,N/A,N/A,From Wm. A. Hearne’s printing publishing house,"Tarboro, N.C.",47 p,N/A,N/A,N/A,N/A,North Carolina farmer.,N/A,1803,N/A,N/A,N/A
Anderson,Rasmus B.,N/A,N/A,N/A,N/A,"Life story. . .2d ed., rev.",1917,N/A,N/A,Priv. pr.,Madison,671 p,N/A,N/A,N/A,N/A,Wisconsin professor who also served as U.S. Minister to Denmark.,N/A,1846,N/A,N/A,N/A
Anderson,Rebecca Anne,N/A,N/A,N/A,N/A,Autobiography,1932,N/A,N/A,N/A,Seattle,26 p,N/A,N/A,N/A,N/A,"The wife of an Ohio merchant tells of her lay church work in Ohio and of her life on a farm in Kansas, and of her childhood in Virginia.",N/A,1840,N/A,N/A,N/A
Anderson,Robert,N/A,N/A,N/A,N/A,The life of Rev. Robert Anderson,1892,N/A,N/A,Priv. pr.,Macon,151 p,N/A,N/A,N/A,N/A,Negro (Methodist) clergyman in Georgia.,N/A,1819,N/A,N/A,N/A
Anderson,Robert,N/A,N/A,N/A,N/A,"From slavery to affluence; memoirs of Robert Anderson, ex-slave",1927,N/A,N/A,The Hemingford Ledger,"Hemingford, Neb.",59 p,N/A,N/A,N/A,N/A,"Born in Kentucky, served in a Negro regiment during the Civil War, and farmed in Nebraska.",N/A,1843,N/A,N/A,N/A
Anderson,Robert A.,N/A,N/A,N/A,N/A,Fighting the Mill Creeks,1909,N/A,N/A,Priv. pr.,"Chico, Calif.",N/A,N/A,N/A,N/A,N/A,In the northern Sierras.,N/A,N/A,N/A,N/A,N/A
Anderson,William J.,N/A,N/A,N/A,N/A,"Life and narrative of William J. Anderson, twenty-four years a slave",1857,N/A,N/A,Daily Tribune,Chicago,81 p,N/A,N/A,N/A,N/A,As described by the title.,N/A,1811,N/A,N/A,N/A
Andrews,Andrew Jackson,N/A,N/A,N/A,N/A,A sketch of his boyhood days...and his experience as a soldier,1905,N/A,N/A,Hermitage press,"Richmond, Va.",163 p,N/A,N/A,N/A,N/A,Confederate soldier whose youth was spent in Virginia.,N/A,1842,N/A,N/A,N/A
Andrews,Christopher Columbus,N/A,N/A,N/A,N/A,Recollections: 1829-1922,1928,N/A,N/A,Arthur H. Clark,Cleveland,299 p,N/A,N/A,N/A,N/A,"Minnesota lawyer, politician and member of the U.S. diplomatic service.",N/A,1829,1922,N/A,N/A
Andrews,Edwin Alvia,N/A,N/A,N/A,N/A,Reminiscent musings,1926,N/A,N/A,E. A. Andrews,"Spring Arbor, Mich.",113 p,N/A,N/A,N/A,N/A,"Free Methodist missionary in Nebraska, Kansas, Oklahoma and Texas.",N/A,1833,N/A,N/A,N/A
Andrews,Emerson,N/A,N/A,N/A,N/A,Living life,1872,N/A,N/A,James H. Earle,Boston,336 p,N/A,N/A,N/A,N/A,Baptist clergyman in the New England and Middle Atlantic states.,N/A,1806,1884,N/A,N/A
Andrews,Joel,N/A,N/A,N/A,N/A,Sketch of the life of Joel Andrews of Bethany: written by himself,1850,N/A,N/A,"Storer & Store, printers",New Haven,48 p,N/A,N/A,N/A,N/A,Methodist clergyman in Connecticut.,N/A,1777,N/A,N/A,N/A
Andrews,John D.,N/A,N/A,N/A,N/A,Eight years in the toils; sketches from a gambler’s life,1890,N/A,N/A,N/A,"Butte City, Mont.",225 p,N/A,N/A,N/A,N/A,A fantastic.,N/A,1860,N/A,N/A,N/A
Anson,Adrian Constantine,N/A,N/A,N/A,N/A,"A ball player’s career, being the personal experiences and reminiscences of Adrian C. Anson, late manager and captain of the Chicago Baseball Club",1900,N/A,N/A,Era publishing co.,Chicago,339 p,N/A,N/A,N/A,N/A,As described by the title.,N/A,1852,1922,N/A,N/A
Antheil,George,N/A,N/A,N/A,N/A,Bad boy of music,1945,N/A,N/A,Doubleday,"Garden City, N.Y.",368 p,N/A,N/A,N/A,N/A,Composer.,N/A,N/A,N/A,N/A,N/A
Anthony,Adam,N/A,N/A,N/A,N/A,New England Quakerism illustrated. Or facts relative to the expulsion of Adam Anthony from the Society of Friends,1843,N/A,N/A,Author,North Providence,71 p,N/A,N/A,N/A,N/A,As described by the title.,N/A,N/A,N/A,N/A,N/A
Ames,Nathaniel,N/A,N/A,N/A,N/A,Nautical reminiscences,1832,N/A,N/A,William Marshall,Providence,216 p,N/A,N/A,N/A,N/A,A Rhode Island merchant sailor who also served in the U.S. Navy.,N/A,N/A,1835,N/A,N/A
Ammen,Daniel,N/A,N/A,N/A,N/A,The old navy and the new,189L,N/A,N/A,J.B. Lippincott,Philadelphia,553 p,N/A,N/A,N/A,N/A,"Life in the old navy under sail before the Civil War, largely cruises in various parts of the world; Civil War experiences; activities in connection with the Nicaragua canal route.",N/A,1820,1898,N/A,N/A
Amory,Charles Bean,N/A,N/A,N/A,N/A,A brief record of the army life,1903,N/A,N/A,Priv. pr.,Boston,43 p,N/A,N/A,N/A,N/A,Officer in the Union Army.,N/A,1841,N/A,N/A,N/A
Amos,Mary Jane,N/A,N/A,N/A,N/A,Blessed are the pure in heart,1940,N/A,N/A,Meador,Boston,122 p,N/A,N/A,N/A,N/A,A Pennsylvania mystic relates her religious experiences.,N/A,1872,N/A,N/A,N/A
Anderson,Abraham Archibald,N/A,N/A,N/A,N/A,Experiences and impressions,1933,N/A,N/A,Macmillan,N.Y.,245 p,N/A,N/A,N/A,N/A,"Painter, and ranch owner in Wyoming.",N/A,N/A,N/A,N/A,N/A
Anderson,Andrew,N/A,N/A,N/A,N/A,Autobiography,1916,N/A,N/A,Washington Recorder,Olympia,19 p,N/A,N/A,N/A,N/A,Methodist clergyman in early Pacific Northwest.,N/A,N/A,N/A,N/A,N/A
Anderson,Charles V.,N/A,N/A,N/A,N/A,Twenty-three years in Cincinnati,N/A,N/A,N/A,N.d.,Salt Lake City,48 p,N/A,N/A,N/A,N/A,A businessman tells of his activities on behalf of the Mormons.,N/A,N/A,N/A,N/A,N/A
Anderson,Ephraim M.,N/A,N/A,N/A,N/A,"Memoirs: historical and personal, including the campaigns of the First Missouri Confederate brigade.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,As described by the title.,N/A,N/A,N/A,N/A,N/A
Anderson,Garland-Andrews,N/A,N/A,N/A,N/A,From newsboy and bellhop to playwright,1925?,N/A,N/A,N.d.,No imprint,30 p,N/A,N/A,N/A,N/A,By a Negro playwright.,N/A,N/A,N/A,N/A,N/A
Anderson,Idella Alderman,N/A,N/A,N/A,N/A,When you and I were young,1927,N/A,N/A,The Recorder press,"Holton, Kan.",41 p,N/A,N/A,N/A,N/A,Youth on a farm in Kansas.,N/A,N/A,N/A,N/A,N/A
Anderson,Isabel Weld,N/A,N/A,N/A,N/A,Zigzagging,1918,N/A,N/A,Houghton Mifflin co.,Boston & N.Y.,269 p,N/A,N/A,N/A,N/A,Canteen worker in France during the first World War.,N/A,1876,N/A,N/A,N/A
Anderson,John Wesley,N/A,N/A,N/A,N/A,From the plains to the pulpit,1907,N/A,N/A,J.W. Anderson & sons,"Goose Creek, Texas",315 p,N/A,N/A,N/A,N/A,By a Baptist clergyman.,N/A,1855,N/A,N/A,N/A
Anderson,Joshua,N/A,N/A,N/A,N/A,Autobiography,N/A,N/A,N/A,N/A,No imprint,4 p,N/A,N/A,N/A,N/A,Farmer in Missouri and Kansas.,N/A,1817,N/A,N/A,N/A
Anderson,Margaret C.,N/A,N/A,N/A,N/A,My thirty years’ war; an autobiography,1930,N/A,N/A,"Covici, Friede",N.Y.,274 p,N/A,N/A,N/A,N/A,"Chicago journalist, and editor of the Little Review.",N/A,N/A,N/A,N/A,N/A
Anderson,Mary Jane Hill,N/A,N/A,N/A,N/A,Autobiography,1934,N/A,N/A,Priv. pr.,Minneapolis,39 p,N/A,N/A,N/A,N/A,Life on a farm in Minnesota.,N/A,1827,1924,N/A,N/A
Anderson,Mary Mabbette,N/A,N/A,N/A,N/A,Lights and shadows of the life in Canaan,1906,N/A,N/A,J.M. Pike,"Columbia, S.C.",92 p,N/A,N/A,N/A,N/A,A lay mission worker in South Carolina.,N/A,N/A,N/A,N/A,N/A
Anderson,Micajah,N/A,N/A,N/A,N/A,"The life of Micajah Anderson, of Edgecombe County. By himself.",1870,N/A,N/A,From Wm. A. Hearne’s printing publishing house,"Tarboro, N.C.",47 p,N/A,N/A,N/A,N/A,North Carolina farmer.,N/A,1803,N/A,N/A,N/A
Anderson,Rasmus B.,N/A,N/A,N/A,N/A,"Life story. . .2d ed., rev.",1917,N/A,N/A,Priv. pr.,Madison,671 p,N/A,N/A,N/A,N/A,Wisconsin professor who also served as U.S. Minister to Denmark.,N/A,1846,N/A,N/A,N/A
Anderson,Rebecca Anne,N/A,N/A,N/A,N/A,Autobiography,1932,N/A,N/A,N/A,Seattle,26 p,N/A,N/A,N/A,N/A,"The wife of an Ohio merchant tells of her lay church work in Ohio and of her life on a farm in Kansas, and of her childhood in Virginia.",N/A,1840,N/A,N/A,N/A
Anderson,Robert,N/A,N/A,N/A,N/A,The life of Rev. Robert Anderson,1892,N/A,N/A,Priv. pr.,Macon,151 p,N/A,N/A,N/A,N/A,Negro (Methodist) clergyman in Georgia.,N/A,1819,N/A,N/A,N/A
Anderson,Robert,N/A,N/A,N/A,N/A,"From slavery to affluence; memoirs of Robert Anderson, ex-slave",1927,N/A,N/A,The Hemingford Ledger,"Hemingford, Neb.",59 p,N/A,N/A,N/A,N/A,"Born in Kentucky, served in a Negro regiment during the Civil War, and farmed in Nebraska.",N/A,1843,N/A,N/A,N/A
Anderson,Robert A.,N/A,N/A,N/A,N/A,Fighting the Mill Creeks,1909,N/A,N/A,Priv. pr.,"Chico, Calif.",N/A,N/A,N/A,N/A,N/A,In the northern Sierras.,N/A,N/A,N/A,N/A,N/A
Anderson,William J.,N/A,N/A,N/A,N/A,"Life and narrative of William J. Anderson, twenty-four years a slave",1857,N/A,N/A,Daily Tribune,Chicago,81 p,N/A,N/A,N/A,N/A,As described by the title.,N/A,1811,N/A,N/A,N/A
Andrews,Andrew Jackson,N/A,N/A,N/A,N/A,A sketch of his boyhood days...and his experience as a soldier,1905,N/A,N/A,Hermitage press,"Richmond, Va.",163 p,N/A,N/A,N/A,N/A,Confederate soldier whose youth was spent in Virginia.,N/A,1842,N/A,N/A,N/A
Andrews,Christopher Columbus,N/A,N/A,N/A,N/A,Recollections: 1829-1922,1928,N/A,N/A,Arthur H. Clark,Cleveland,299 p,N/A,N/A,N/A,N/A,"Minnesota lawyer, politician and member of the U.S. diplomatic service.",N/A,1829,1922,N/A,N/A
Andrews,Edwin Alvia,N/A,N/A,N/A,N/A,Reminiscent musings,1926,N/A,N/A,E. A. Andrews,"Spring Arbor, Mich.",113 p,N/A,N/A,N/A,N/A,"Free Methodist missionary in Nebraska, Kansas, Oklahoma and Texas.",N/A,1833,N/A,N/A,N/A
Andrews,Emerson,N/A,N/A,N/A,N/A,Living life,1872,N/A,N/A,James H. Earle,Boston,336 p,N/A,N/A,N/A,N/A,Baptist clergyman in the New England and Middle Atlantic states.,N/A,1806,1884,N/A,N/A
Andrews,Joel,N/A,N/A,N/A,N/A,Sketch of the life of Joel Andrews of Bethany: written by himself,1850,N/A,N/A,"Storer & Store, printers",New Haven,48 p,N/A,N/A,N/A,N/A,Methodist clergyman in Connecticut.,N/A,1777,N/A,N/A,N/A
Andrews,John D.,N/A,N/A,N/A,N/A,Eight years in the toils; sketches from a gambler’s life,1890,N/A,N/A,N/A,"Butte City, Mont.",225 p,N/A,N/A,N/A,N/A,A fantastic.,N/A,1860,N/A,N/A,N/A
Anson,Adrian Constantine,N/A,N/A,N/A,N/A,"A ball player’s career, being the personal experiences and reminiscences of Adrian C. Anson, late manager and captain of the Chicago Baseball Club",1900,N/A,N/A,Era publishing co.,Chicago,339 p,N/A,N/A,N/A,N/A,As described by the title.,N/A,1852,1922,N/A,N/A
Antheil,George,N/A,N/A,N/A,N/A,Bad boy of music,1945,N/A,N/A,Doubleday,"Garden City, N.Y.",368 p,N/A,N/A,N/A,N/A,Composer.,N/A,N/A,N/A,N/A,N/A
Anthony,Adam,N/A,N/A,N/A,N/A,New England Quakerism illustrated. Or facts relative to the expulsion of Adam Anthony from the Society of Friends,1843,N/A,N/A,Author,North Providence,71 p,N/A,N/A,N/A,N/A,As described by the title.,N/A,N/A,N/A,N/A,N/A
Ames,Nathaniel,N/A,N/A,N/A,N/A,Nautical reminiscences,1832,N/A,N/A,William Marshall,Providence,216 p,N/A,N/A,N/A,N/A,A Rhode Island merchant sailor who also served in the U.S. Navy.,N/A,N/A,1835,N/A,N/A
Ammen,Daniel,N/A,N/A,N/A,N/A,The old navy and the new,189L,N/A,N/A,J.B. Lippincott,Philadelphia,553 p,N/A,N/A,N/A,N/A,"Life in the old navy under sail before the Civil War, largely cruises in various parts of the world; Civil War experiences; activities in connection with the Nicaragua canal route.",N/A,1820,1898,N/A,N/A
Amory,Charles Bean,N/A,N/A,N/A,N/A,A brief record of the army life,1903,N/A,N/A,Priv. pr.,Boston,43 p,N/A,N/A,N/A,N/A,Officer in the Union Army.,N/A,1841,N/A,N/A,N/A
Amos,Mary Jane (Davies),N/A,N/A,N/A,N/A,“Blessed are the pure in heart”,1940,N/A,N/A,Meador,Boston,122 p,N/A,N/A,N/A,N/A,A Pennsylvania mystic relates her religious experiences.,N/A,1872,N/A,N/A,N/A
Anderson,Abraham Archibald,N/A,N/A,N/A,N/A,Experiences and impressions,1933,N/A,N/A,Macmillan,N.Y.,245 p,N/A,N/A,N/A,N/A,"Painter, and ranch owner in Wyoming.",N/A,N/A,N/A,N/A,N/A
Anderson,Andrew,N/A,N/A,N/A,N/A,Autobiography,1916,N/A,N/A,Washington Recorder,Olympia,19 p,N/A,N/A,N/A,N/A,Methodist clergyman in early Pacific Northwest.,N/A,N/A,N/A,N/A,N/A
Anderson,Charles V.,N/A,N/A,N/A,N/A,Twenty-three years in Cincinnati,N/A,N/A,N/A,N.d.,Salt Lake City,48 p,N/A,N/A,N/A,N/A,A businessman tells of his activities on behalf of the Mormons.,N/A,N/A,N/A,N/A,N/A
Anderson,Ephraim M.,N/A,N/A,N/A,N/A,"Memoirs: historical and personal, including the campaigns of the First Missouri Confederate brigade",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,As described by the title.,N/A,N/A,N/A,N/A,N/A
