author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
BEWSHER,Paul,N/A,N/A,N/A,N/A,Green Balls,1919,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Personal narrative of London clerk; flying; night bombings; terrors; personal adventures.,Clerk,N/A,N/A,N/A,N/A
BIARD,Henri Charles (Captain),N/A,N/A,N/A,N/A,Wings,1934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Experiences as test pilot in Supermarine aircraft; Schneider Cup & races.,Captain,N/A,N/A,N/A,N/A
BICKERSTAFF-DREW,Francis Br Drew,N/A,N/A,N/A,N/A,Pages from the Past,1922,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boyhood in Wales; social life; public events; London society; his career in writing.,Writer,N/A,N/A,N/A,N/A
BICKFORD,James (Rev.),N/A,N/A,N/A,N/A,An Autobiography,1890,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Devon boyhood in the 20's and career as missionary in Demarara, West Indies, Australia, 1838 to 1888; travels, preaching, reading.",Reverend; Missionary,N/A,N/A,N/A,N/A
BIDDLECOMBE,George (Sir),N/A,N/A,N/A,N/A,Autobiography,1878,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His naval career from boyhood; convict ship; cruises; capture of St. Jean d'Acre; part in Baltic campaign 1854; sights, curiosities.",Naval Officer,N/A,N/A,N/A,N/A
BIGG-WITHER,Thomas P.,N/A,N/A,N/A,N/A,Pioneering in South Brazil,1878,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mining engineer's travels in Parana in 70's; colonists; natural history; hunting.,Mining Engineer,N/A,N/A,N/A,N/A
BIGLAND,Eileen,N/A,N/A,N/A,N/A,Awakening,1946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scottish girlhood; Calvinism; advertising salesman; novelist; travels; politics; her own development.,Novelist,N/A,N/A,N/A,N/A
BIGLAND,John,N/A,N/A,N/A,N/A,Memoir,1830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Amusing record of a self-taught Yorkshireman; antiquarian and historian of Yorkshire.,Historian,N/A,N/A,N/A,N/A
BILAINKIN,George,N/A,N/A,N/A,N/A,"Hail, Penang!",1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Work as journalist and editor in Malaya; racial attitudes and problems; influence of films & plays.,Journalist; Editor,N/A,N/A,N/A,N/A
BINGFIELD,William (pseud.),N/A,N/A,N/A,N/A,Travels and Adventures,1753,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Voyages, shipwreck, miraculous preservation; with account of the bird-dog.",N/A,N/A,N/A,N/A,N/A
BINNS,John,N/A,N/A,N/A,N/A,Recollections,1854,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Political career of a United Irishman; the rebellion of 1791–1798; anecdotes; history.,Politician,N/A,N/A,N/A,N/A
BIRCHENALL,John,N/A,N/A,French,Alfred J.,"Life, by Alfred J. French",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Autobiography; surgeon turned Methodist minister; travels and work in ministry; introspection.,Surgeon; Methodist Minister,N/A,N/A,N/A,N/A
BIRD,Henry Llewellyn Johnson,N/A,N/A,N/A,N/A,Episode,1911,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Work and observations of a tutor in a noble Russian household, in the seventies.",Tutor,N/A,N/A,N/A,N/A
BIRDWOOD,William Riddell Birdwood (Baron),N/A,N/A,N/A,N/A,In My Time,1941; 1945,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clifton; Sandhurst; long army career; Boer War; India; commander of Anzacs in WW1; Gallipoli; Home Guard; history; anecdotes.,Baron; Commander,N/A,N/A,N/A,N/A
BIRKIN,Henry R. S. (Sir),N/A,N/A,N/A,N/A,Throttle,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Career as racing motorist after WW1; motor industry; sponsors; lure of speed; races.,Racing Motorist,N/A,N/A,N/A,N/A
BIRMINGHAM,George A. (Rev.),N/A,N/A,N/A,N/A,Padre in France; Pleasant Places,1918; 1934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Experiences in WW1 as chaplain behind lines; his early years; parish work in Ireland; career as novelist; Irish politics and religion.,Chaplain; Novelist,N/A,N/A,N/A,N/A
BIRON,Henry Chartres (Sir),N/A,N/A,N/A,N/A,Without Prejudice,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Eton and Cambridge; law studies and practice; magistrate, at Old Street and Bow Street; crimes, criminals; Liberal Party & politics.",Magistrate,N/A,N/A,N/A,N/A
BIRRELL,Augustine,N/A,N/A,N/A,N/A,Things Past Redress,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Eighty years' recollections of life, people, politics, books Liverpool; Cambridge; legal study and literary criticism.",N/A,N/A,N/A,N/A,N/A
BISHOP,Cecil,N/A,N/A,N/A,N/A,From Information Received,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boy before mast; career as policeman and detective; criminal Crippen case; guard to celebrities; an amusing record.,Policeman; Detective,N/A,N/A,N/A,N/A
BISHOP,George Adderley,N/A,N/A,N/A,N/A,A Cambridge Undergraduate,1876,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bingham and Cambridge in 70's; religious life and ordination.,N/A,N/A,N/A,N/A,N/A
BISHOP,Harry Coghill Watson,N/A,N/A,N/A,N/A,"Kut, Prisoner",1920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Subaltern in Indian army; WWI service; Mesopotamia; siege of Kut; capture and escape.,Subaltern; Indian Army,N/A,N/A,N/A,N/A
BISHOP,Matthew,N/A,N/A,N/A,N/A,Life and Adventures,1744,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His naval & military experiences under Marlborough, Shovell etc.; Oudinard; New England; likely fiction.",N/A,N/A,N/A,N/A,N/A
BISHOP,"Reginald W, S",N/A,N/A,N/A,N/A,My Moorland Patients,1922,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Life and work of doctor in North Riding; moorland people; anecdotes; WWI; from 1894.,Doctor,N/A,N/A,N/A,N/A
BISHOP,Sydney Oliver,N/A,N/A,N/A,N/A,A Touch of Liver,1909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Experience as a medical officer in Assam, India, Panama, Peru in 70's; London in 60's; amusing anecdotes.",Medical Officer,N/A,N/A,N/A,N/A
BISSET,James,N/A,N/A,N/A,N/A,Brief Memoirs,1818,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Art training, Perth Academy; work in Birmingham area; art gallery in Leamington Spa.",Artist,N/A,N/A,N/A,N/A
BLACK,Adam,N/A,N/A,N/A,N/A,Memoirs,1885,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Autobiography of the Edinburgh bookseller and publisher to 1872; some diaries; books, authors, politics, social life in Edinburgh.",Bookseller; Publisher,N/A,N/A,N/A,N/A
BLACK,Sister Catherine,N/A,N/A,Blackie,N/A,King's Nurse,1939,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donegal; career as nurse; London Hospital; France in WWI; nurse to George V at his death; appealing record.,Nurse,N/A,N/A,N/A,N/A
BLACK,William,N/A,N/A,Jackson,Thomas,Lives of the Early Teachers,1837,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Huddersfield; his sinful youth and conversion; life & work of itinerant preacher in Nova Scotia; America; to 1788.,Preacher,N/A,N/A,N/A,N/A
BLACKADER,John,N/A,N/A,N/A,N/A,Memoirs,1823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Life and troubles of covenanting minister in Scotland; prisoner at Bass Rock; rejected from Trocqueer; his theology, politics, adventures.",Minister,N/A,N/A,N/A,N/A
BLACKBURNE,Harry William,N/A,N/A,N/A,N/A,This Also Happened,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Personal narrative of chaplain with infantry in France, WWI; breezy account of work and providing comfort for troops.",Chaplain,N/A,N/A,N/A,N/A
BLACKER,Capt. Latham V. S.,N/A,N/A,N/A,N/A,On Sec of Patrol,1922,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Lively adventures in WWI; guerilla work with Pathans in Persia, Turkestan, Afghanistan.",Capt.,N/A,N/A,N/A,N/A
BLACKETT,Herbert Field,N/A,N/A,N/A,N/A,Two Years in an Indian Mission,1884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Work as a missionary; education; problems; and Hindu religion; anecdotes.,Missionary,N/A,N/A,N/A,N/A
BLACKHAM,Col. Robert James,N/A,N/A,N/A,N/A,"Scalpel, Sword and Stretcher",1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medical training in Ireland; Victorian medicine; army surgeon in India and Afghan border; service in WWI.,Colonel; Surgeon,N/A,N/A,N/A,N/A
BLACKIE,John Stuart,N/A,N/A,N/A,N/A,Notes of My Life,1910,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scottish boyhood; Scottish life and travel and folklore; education in Germany; literary friendships; professor of classics in Edinburgh and Aberdeen; Liberal politics; religion; social.,Professor,N/A,N/A,N/A,N/A
BLACKLEDGE,William J.,N/A,N/A,N/A,N/A,Hell's Broth Militia,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Remarkable adventures with Kurram Militia on N.W. Frontier; exciting.,N/A,N/A,N/A,N/A,N/A
BLACKSTOCK,Edward,N/A,N/A,N/A,N/A,Mercy Manifested,1853,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Conversion; life and ministry of nonconformist; thirty years ministry at Wolverhampton, Potton & London and in Manchester; to 1842.",Nonconformist Minister,N/A,N/A,N/A,N/A
BLACK,N/A,N/A,N/A,N/A,N/A,On the Road to Kut,1917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Personal experiences WWI; Mesopotamian campaign; siege of Kut.,N/A,N/A,N/A,N/A,N/A
BLACKWELL,Elizabeth,N/A,N/A,N/A,N/A,Pioneer Work,1895,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bristol childhood; early life in America; student at Barts; medical practice; work for women's rights and opening of medicine to women; practice in America.,Medical Practitioner; Women's Rights Activist,N/A,N/A,N/A,N/A
BLACKWELL,Lt. Thomas Eden,N/A,N/A,N/A,N/A,Military Journal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Young officer's experiences in India; Burmese War; his observations on Indian culture & art.,Lieutenant,N/A,N/A,N/A,N/A
LACKNOOD,Algernon,N/A,N/A,N/A,N/A,Episodes before Thirty,1923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boyhood; brought up in Moravian brotherhood; sent to Canada; misfortunes; adventures in New York's slums; New York reporter.,Reporter,N/A,N/A,N/A,N/A
BLACKWOOD,Lady Alicia,N/A,N/A,N/A,N/A,Personal Experiences,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Her surgeon husband at Scutari during the Crimean War; Florence Nightingale; her work and hardships; soldiers and their wives.,N/A,N/A,N/A,N/A,N/A
BLACKWOOD,John,N/A,N/A,N/A,N/A,Reminiscences,1908,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Boyhood and medical studies in Edinburgh; reminiscences, Scott, John Brown & Hugh Miller; medical practice near London; social work and religion; working class life.",Medical Practitioner,N/A,N/A,N/A,N/A
BLAIXIE,James Brunton,N/A,N/A,N/A,N/A,I Go A-Fishing,1928,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Experiences with trout and salmon in England and Norway.,N/A,N/A,N/A,N/A,N/A
BLAIKIE,William Garden,N/A,N/A,N/A,N/A,Autobiography,1901,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scottish life; religious and social questions; his writing.,N/A,N/A,N/A,N/A,N/A
BLAIR,Dorian,N/A,N/A,N/A,N/A,Russian Ha:,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Adventures of secret service agent in Russia during WWI and the Bolshevik revolution.,Secret Service Agent,N/A,N/A,N/A,N/A
BLAIR,Hugh,N/A,N/A,N/A,N/A,General Account,1908,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Life and work of 18th Century minister in Fife and Edinburgh; Scottish church affairs; from 1762 professor of rhetoric in Edinburgh.,Minister; Professor,N/A,N/A,N/A,N/A
BLAIR,Robert,N/A,N/A,M'Crie,T.,Memoirs,1898,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"The life and work of minister of St. Andrews, 1593-1636; a record of religious troubles, protest and sufferings; valuable for covenanting period.",Minister,N/A,N/A,N/A,N/A
BLAKE,"Rev, Henry J. C.",N/A,N/A,N/A,N/A,The Cantal,1845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His undergraduate studies and social life at Cambridge, early 19th Century; some later adventures and misadventures.",Reverend,N/A,N/A,N/A,N/A
BLAKE,Major Wallace,N/A,N/A,N/A,N/A,Quod,1927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Work as prison governor from 1902; at Pentonville, Borstal, Wandsworth, reform work, religion, training of officers; anecdotes; reflections.",Major; Prison Governor,N/A,N/A,N/A,N/A
BLAKE,Wilfrid T.,N/A,N/A,N/A,N/A,Ports of Call,1933,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Guide to pleasure cruises and a few personal reminiscences.,N/A,N/A,N/A,N/A,N/A
BLAKELEY,John Rix,N/A,N/A,N/A,N/A,Brief Memoirs,1838,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brief; early military life, conversion, Baptist ministry in Norfolk, Ipswich.",Baptist Minister,N/A,N/A,N/A,N/A
BLAKEMORE,Anne,N/A,N/A,N/A,N/A,Out of Old Fields,1944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Experiences of a novice farmer in the Cotswolds between wars; farming during WWII; government agencies.,Farmer,N/A,N/A,N/A,N/A
BLAKENEY,Capt. Robert,N/A,N/A,N/A,N/A,A Boy in the Peninsular War,1899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Service during war; Danish campaign; Spain; Waterloo and Grand Review; subaltern's personal experiences.,Captain,N/A,N/A,N/A,N/A
BLAKER,Nathaniel Paine,N/A,N/A,N/A,N/A,Reminiscences,1906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Village life in Sussex in 1800-1906; medical work in Brighton; bygone days and ways.,N/A,N/A,N/A,N/A,N/A
BLAKEY,Robert,N/A,N/A,N/A,N/A,Memolrs,1879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His boyhood in N, England; studies; philosophy; scholar friends; professorship in Belfast; teaching and writing.",Scholar; Professor,N/A,N/A,N/A,N/A
BLAKHALL,Gilbert,N/A,N/A,N/A,N/A,Brieffe Naration,1844,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Work of priest with Scots mission in France and in Netherlands and Scotland, 1631-1649; travel and adventures; lively.",Priest,N/A,N/A,N/A,N/A
BLAKISTON,John (Maj.),N/A,N/A,N/A,N/A,Military Adventures; Twelve 'aenty Years of Retirement,1829; 1836,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Military service in India; and with Wellington in Peninsular War; farming and art in Midlands; country life, social and.",Major; Military personnel,N/A,N/A,N/A,N/A
BLAMPIED,H.J.,N/A,N/A,N/A,N/A,7. land Regiment,1918,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Serving in France and Iraq during WWI; details of daily life.,Captain; Military,N/A,N/A,N/A,N/A
BLAND,Robert Henderson,N/A,N/A,N/A,N/A,Actor-Soldier-Poet,1939,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reminiscences of his theatrical work and tours; theatrical celebrities; his poems; army service in France during WWI.,Actor; Soldier; Poet,N/A,N/A,N/A,N/A
BLAND,Sarah Nash,N/A,N/A,N/A,N/A,The Field and the Garner,1854,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Religious life; Sunday School and mission work in Reading in 1840s.,Missionary; Religious worker,N/A,N/A,N/A,N/A
BLAND-SUTTON,John (Sir),N/A,N/A,N/A,N/A,Story of a Surgeon,1930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Medical education and career, 1855 to 1910; Royal College of Surgeons; travels.",Surgeon,N/A,N/A,N/A,N/A
BLASER,Bernard,N/A,N/A,N/A,N/A,Kilts,1926,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Battalion scout and mapper in Palestine, WWI; life and interests of non-comms; fighting against Turks.",Scout; Mapper; Military,N/A,N/A,N/A,N/A
BLATCHFORD,Robert,N/A,N/A,N/A,N/A,Amy; My Eighty Years,1910; 1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,My Life in the Early experiences in ranks; political work and journalism; labour and socialist movements; The Clarion & Sunday Chronicle; labour leaders.,Journalist; Political worker,N/A,N/A,N/A,N/A
BLATHAYT,Raymond,N/A,N/A,N/A,N/A,Throy Life; Tapest; of Life; % ing Down the Years,1917; 1923; 1935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Education for church; curate in East London; his career and travels as journalist, England, the East, Hollywood; invalidism and forces which moulded him; celebrities in the arts.",Curate; Journalist,N/A,N/A,N/A,N/A
BLAUGDONE,Barbara,N/A,N/A,N/A,N/A,An_Account of,1691,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Quaker's testimony; ministry, persecutions, travels in South-West of England and Ireland.",Quaker; Minister,N/A,N/A,N/A,N/A
BLENKINSOP,Adam,N/A,N/A,N/A,N/A,Memoirs of,1852,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gloucestershire; London society; medical practice; with Wellington's army; inheritance in Spain and in America; and financial ventures; return to medicine; graphology.,Medical professional; Soldier,N/A,N/A,N/A,N/A
BLIGH,Eric Walter,N/A,N/A,N/A,N/A,Tooting Corner,1946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Affectionate, humorous account of boyhood in London suburb; rich detail of bygone family life.",N/A,N/A,N/A,N/A,N/A
BLISS,William,N/A,N/A,N/A,N/A,Pilgrimage of Grace,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Solicitor and Roman Catholic; work in Lincoln's Inn Fields; travels; meetings with Wilde, Shaw, Morris, etc.",Solicitor,N/A,N/A,N/A,N/A
BLOMEFIELD,Leonard,N/A,N/A,N/A,N/A,Chapters in My Life,1889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,London; Cambridge; ordination; ministry; work in natural history; publications; scientific societies in Bath.,Minister; Natural historian,N/A,N/A,N/A,N/A
BLOMEFIELD,Mathena (Mrs.),N/A,N/A,N/A,N/A,Life in the Bow-Net and Water-Lilies,1946; 1948,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Childhood on West Norfolk farm in 80's; education, games, animals, old customs; family; deliberately charming.",N/A,N/A,N/A,N/A,N/A
BLOMFIELD,Charles James (Capt.),N/A,N/A,N/A,N/A,Once an Artist,1921,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Experiences in the Artists' Rifles from 1882; service in WWI, France; anecdotes; people.",Captain; Military,N/A,N/A,N/A,N/A
BLOMFIELD,Reginald (Sir),N/A,N/A,N/A,N/A,Memoirs,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haileybury & Oxford; career as an architect; art movements and personalities; social life.,Architect,N/A,N/A,N/A,N/A
BLOOD,Bindon (Sir),N/A,N/A,N/A,N/A,Four Score Years and Ten,1933,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Military career; Aldershot; India from 1871; Boer War; social and sport.,Sir; Military,N/A,N/A,N/A,N/A
BLOOM,Ursula,N/A,N/A,N/A,N/A,"Without Make-Up; Log of Yene; Time, Tide & I; Me, After the W; No Lady with Pen; No Lady in the Cart",1933; 1940; 1943; 1947; 1947; 1949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Noisy, flippant, chattering reminiscences of childhood, many Jobs, journalism, popular writing, experiences during war; marriages, motoring; anything to make a new book; a notable representative of the fashion for perpetual gossip-column installment autobiography.",Writer; Journalist,N/A,N/A,N/A,N/A
BLOOMFIELD,Geor (Baroness),N/A,N/A,N/A,N/A,Reminiscences; Gleanings,1883; 1902,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Reminiscences of society and politics during whole of Victoria's reign; her life at court and at embassies, Berlin, Russia, Vienna; diplomats, celebrities, public affairs.",Baroness,N/A,N/A,N/A,N/A
BLOGMFIELD,Paul,N/A,N/A,N/A,N/A,Half the Battle; B.B.C.,1936; 1941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Autobiography of his youth, including his diaries at Harrow; art, current ideas, WWI, sex and insecurity; work at the B.B.C. in Birmingham; Talks Department; critical and personal.",N/A,N/A,N/A,N/A,N/A
BLOUNT,Edward Charles (Sir),N/A,N/A,N/A,N/A,Memoirs,1902,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Career as attaché in Rome and Paris; banker and railway promoter in France; Franco-Prussian War; sport and social life in Staffs.,Sir; Attaché,N/A,N/A,N/A,N/A
BLOW,Sydney,N/A,N/A,N/A,N/A,The Ghost Walks,1935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Theatrical career; playwriting; anecdotes of London theatre and music hall and of actors and plays.,Playwright; Actor,N/A,N/A,N/A,N/A
BLUECHER VON WAHLSTATT,Evelyn Mary,N/A,N/A,N/A,N/A,An English Wife in Berlin,1920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Personal record of public events, politics, daily life in Germany during WWI and revolution.",N/A,N/A,N/A,N/A,N/A
BLUNDELL,Peter (Frank Nestle Butterworth),N/A,N/A,N/A,N/A,Confessions of a Seaman,1924,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A pleasant autobiography of an engineer on tramp steamers; deck life and ports; amusing.,Engineer; Seaman,N/A,N/A,N/A,N/A
BLUNDEN,Edmund Charles,N/A,N/A,N/A,N/A,Undertones,1928,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Personal experiences and reactions while serving in France in WWI; trench life; sensitive.,N/A,N/A,N/A,N/A,N/A
BLUNT,Fanny Janet Sandison (Lady),N/A,N/A,N/A,N/A,My Reminiscences,1918,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Childhood in Turkey; with consul-husband in Constantinople to 1901; social life; diplomacy, etc.",Lady; Diplomat,N/A,N/A,N/A,N/A
BLUNT,Reginald,N/A,N/A,N/A,N/A,Those Were the Days,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reminiscences of engineer; chiefly local affairs and daily life in Chelsea.,Engineer,N/A,N/A,N/A,N/A
BLUNT,Wilfred Scawen,N/A,N/A,N/A,N/A,India Under Ripon,1909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Travel diary, 1883-84; in India during Ripon's vice-royalty; travels; political and social conditions; good.",N/A,N/A,N/A,N/A,N/A
BLYTON,William Joseph,N/A,N/A,N/A,N/A,Landfalls,1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Newspaper editor; farmer; and traveller; politics, literature, and country life; mental development; his meetings with famous men.",Editor; Farmer; Traveller,N/A,N/A,N/A,N/A
BOARDMAN,William H.,N/A,N/A,N/A,N/A,Vaudeville Days,1935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Orphan; Lancs; boy in circus; musician; manager of music-hall; reminiscences of the great days of variety and the great performers.,Musician; Manager,N/A,N/A,N/A,N/A
BOASE,Mabel M.,N/A,N/A,N/A,N/A,Haj Stir the Poppy Dust,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Childhood on east coast of Scotland in 70's and 80's; country life in Fife; pleasant and mild.,N/A,N/A,N/A,N/A,N/A
BODDY,Alexander Alfred,N/A,N/A,N/A,N/A,From the gyptian Ramleh,1900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His travel and social life in the Delta, lower Egypt and Alexandria in the 90's.",N/A,N/A,N/A,N/A,N/A
BODKIN,Matthias M'Donnell,N/A,N/A,N/A,N/A,Regol- lections,1914,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Life and work of an Irish lawyer, judge, journalist; Parliamentary and public affairs.",Lawyer; Judge; Journalist,N/A,N/A,N/A,N/A
BODKIN,Thomas,N/A,N/A,N/A,N/A,My Uncle Frank,1941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boyhood at uncle's farm in Ireland; a boy's life and amusements.,N/A,N/A,N/A,N/A,N/A
BODLEY,Col. Ronald Victor,N/A,N/A,N/A,N/A,Courtesy Indiscretions,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Eton and Sandhurst; WW1 service; Lawrence; Paris embassy and Peace Conferences; service with Algerians; life as nomad, shepherd in Sahara; mysticism and his quest for peace of mind in Java and East.",Colonel; Eton; Sandhurst,N/A,N/A,N/A,N/A
BODLEY,Sir Thomas,N/A,N/A,N/A,N/A,The Life,1913,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Family exiled by Catholic; return under Elizabeth; ambassador; rivalry of Burleigh and Essex; retirement and setting up library for Oxford students; brief and dry.,Ambassador,N/A,N/A,N/A,N/A
BOGER,Alnod John,N/A,N/A,N/A,N/A,Road I Travelled,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Winchester, Oxford; legal studies; climbing and big-game hunting in India, Far East, Uganda, & Norway, etc.",Lawyer,N/A,N/A,N/A,N/A
BOGGIS,Robert James Edmund,N/A,N/A,N/A,N/A,I Remember,1947,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clerical work and social life in Exeter.,N/A,N/A,N/A,N/A,N/A
BOGLE,J. Linton,N/A,N/A,N/A,N/A,Mo; re Meandering:,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Doctor's trips in England and on continent.,Doctor,N/A,N/A,N/A,N/A
BOLITHO,Henry Hector,N/A,N/A,N/A,N/A,Thistledowné & Thunder,1928,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"A New Zealand author's travel notes, 1915 to 1927, empire, America, Europe; youth in N.Z.; career as writer; writing, the arts; Shaw, Ellen Terry, Lawrence.",Author,N/A,N/A,N/A,N/A
